"#DOWNLOAD URL# http://data.usbr.gov/rise/api/result/download?after=2020-01-01&before=2022-12-31&filename=Boysen%20Reservoir%20Dam%20and%20Powerplant%20Observed%20Daily%20Instantaneous%20Lake%2FReservoir%20Elevation%20ft%20%282020-01-01%20-%202022-12-31%29&itemId=196&order=ASC&type=csv","","","","","",""
"#DOWNLOAD DATE# 2024-02-06","","","","","",""
"#LOCATION INFORMATION#","","","","","",""
"Location","State","Coordinates (long, lat)","Timezone","Location Type","",""
"Boysen Reservoir Dam and Powerplant","WY","(-108.1769, 43.4)","MT","Lake/Reservoir","",""
"","","","","","",""
"#SERIES DATA#","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4716.86","ft","daily","instant","2020-03-13 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4716.88","ft","daily","instant","2020-03-14 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4716.88","ft","daily","instant","2020-03-14 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4716.93","ft","daily","instant","2020-03-15 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4716.93","ft","daily","instant","2020-03-15 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717","ft","daily","instant","2020-03-16 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717","ft","daily","instant","2020-03-16 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.06","ft","daily","instant","2020-03-17 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.06","ft","daily","instant","2020-03-17 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.11","ft","daily","instant","2020-03-18 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.11","ft","daily","instant","2020-03-18 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.15","ft","daily","instant","2020-03-19 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.15","ft","daily","instant","2020-03-19 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.18","ft","daily","instant","2020-03-20 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.18","ft","daily","instant","2020-03-20 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.2","ft","daily","instant","2020-03-21 06:00:00"
