Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Boysen Reservoir - TPD,,,,,,,,,
,,15,,12.66,8.13,575,6.08,68.2,249
,,,,,,,,,
,7/25/2016,0,824,22.95,8.36,424,7.26,100.5,480
,,0.5,,23.01,8.34,424,7.26,100.7,480
,,1,,23.01,8.33,424,7.25,100.6,480
,,1.5,,23,8.33,424,7.26,100.7,480
,,2,,22.96,8.32,424,7.17,99.7,481
,,2.5,,22.08,8.25,424,6.88,93.8,482
,,3,,21.97,8.24,425,6.85,93.1,482
,,4,,21.93,8.23,426,6.79,92.2,483
,,5,,21.89,8.23,425,6.76,92,483
,,6,,21.77,8.23,425,6.79,91.9,483
,,7,,21.64,8.2,427,6.62,89.5,484
,,8,,21.53,8.19,430,6.53,88,484
,,9,,21.24,8.14,438,6.33,84.9,485
,,10,,20.63,7.97,452,5.2,68.7,487
,,11,,19.92,7.93,435,5,65.2,487
,,12,,19.04,7.8,442,4.17,53.1,488
,,13,,18.03,7.71,462,3.39,42.5,490
,,14,,17.17,7.63,480,2.56,31.4,491
,,,,,,,,,
,9/19/2016,0,915,16.8,8.3,495,7.18,88.2,514
,,0.5,,16.81,8.32,495,7.19,88.2,513
,,1,,16.79,8.33,495,7.19,88,513
,,1.5,,16.79,8.34,495,7.15,87.6,513
,,2,,16.8,8.33,495,7.16,87.9,513
,,2.5,,16.77,8.33,496,7.12,87.2,513
,,3,,16.76,8.34,496,7.1,86.9,514
,,4,,16.75,8.33,496,7.04,86.2,514
,,5,,16.73,8.33,496,7.01,85.8,514
,,6,,16.66,8.3,498,6.75,82.4,515
,,7,,16.6,8.3,496,6.71,81.8,515
,,8,,16.59,8.3,495,6.77,82.4,515
,,9,,16.51,8.29,493,6.72,81.7,516
,,10,,16.5,8.3,493,6.69,81.5,517
,,11,,16.48,8.29,492,6.63,80.8,517
,,12,,16.47,8.28,493,6.57,79.7,518
,,13,,16.41,8.25,502,6.24,75.9,519
,,14,,16.4,8.24,505,6.12,74.4,520
,,,,,,,,,
,5/27/2020,0,930,13.94,8.81,585.9,8.3,95.4,210.5
,,0.5,,13.56,8.87,589.1,8.38,95.6,209.9
,,1,,13.31,8.78,589,8.37,94.6,215.2
,,1.5,,13.25,8.68,589.1,8.35,94.6,220.9
,,2,,13.2,8.57,588.8,8.33,94.4,227
,,2.5,,13.19,8.45,589,8.33,94.2,234.1
,,3,,13.16,8.36,588.5,8.32,94.1,239.2
,,4,,13.15,8.2,587.6,8.3,93.9,248.9
,,5,,12.85,8.12,590.2,8.29,93.1,251.9
,,6,,12.73,8.17,590.7,8.27,92.6,248.7
,,7,,12.67,8.23,592.8,8.28,92.6,244.7
,,8,,12.61,8.34,594.6,8.27,92.4,239
,,9,,12.51,8.42,595.2,8.24,91.8,235.5
,,10,,12.48,8.48,596.2,8.24,91.8,232.6
,,11,,12.35,8.52,598.3,7.99,88.4,231.3
,,12,,12.03,8.42,602.1,7.09,77.5,231.4
,,13,,11.91,8.39,607.7,6.39,69.6,231
,,,,,,,,,
,6/24/2020,0,940,22.05,8.59,505.7,8.7,118.5,229.7
,,0.5,,22.04,8.59,505.5,8.67,118.2,229.9
,,1,,21.54,8.57,485.9,8.65,116.6,230.5
,,1.5,,20.1,8.55,449.1,8.64,113.1,231.4
,,2,,19.7,8.47,455.6,8.55,111.1,235.3
,,2.5,,19.09,8.38,456.3,8.38,107.6,240.6
,,3,,18.8,8.26,448.1,8.32,106.1,248.5
,,4,,18.47,8.12,461.9,8.1,102.7,253.8
,,5,,18.14,8.07,450.9,7.93,99.9,255.3
,,6,,18.07,8.14,467.7,7.94,99.9,250.9
,,7,,17.67,8.39,458.2,7.6,95.1,235
,,8,,17.14,8.32,421.3,6.99,85.8,234.1
,,9,,17.08,8.39,425,6.95,85.6,230.9
,,10,,16.96,8.42,432.7,6.76,83.2,228.8
,,11,,16.89,8.61,515.7,7.21,88.4,226.8
,,12,,16.46,8.48,500.6,6.59,80.1,228.2
,,13,,15.91,8.57,540.4,6.55,78.7,225.7
,,14,,15.43,8.48,533.8,5.96,70.9,226.4
,,15,,14.76,8.33,543.4,4.39,51.4,227.2
,,,,,,,,,
,7/15/2020,0,930,20.4,8.67,651.7,8.8,116.59,144.4
,,0.5,,21.04,8.64,648.72,8.61,114.63,139.6
,,1,,21.03,8.64,648.72,8.6,114.46,138.5
,,1.5,,20.96,8.63,647.8,8.59,114.07,137.7
,,2,,20.93,8.62,648.41,8.56,113.78,137.9
,,2.5,,20.88,8.62,647.5,8.54,113.41,136.2
,,3,,20.86,8.61,647.28,8.53,113.1,136.3
,,4,,20.82,8.54,647.23,8.54,112.01,140.3
,,5,,20.78,8.43,647.36,8.43,111.68,152.4
,,6,,20.7,8.2,649.7,8.42,111.5,160.9
,,7,,20.66,8.16,652.34,8.38,110.76,157.1
,,8,,20.64,8.3,652.6,8.37,110.57,143.4
,,9,,20.63,8.57,652.6,8.36,110.49,134.9
,,10,,20.61,8.63,652.68,8.33,109.87,131.4
,,11,,20.6,8.67,652.7,8.33,109.92,128.6
