Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP,
Boysen Reservoir - LPD,,,,,,,,,,
,6/12/2013,0,7:35,15.17,8.54,682.8,9.72,115.3,311,
,,0.5,7:35,15.18,8.55,682.6,9.71,115.2,311,
,,1,7:35,15.08,8.53,682.5,9.59,113.1,311,
,,1.5,7:35,14.93,8.5,681.7,9.36,109.9,312,
,,2,7:35,14.8,8.49,681.1,9.2,108.1,312,
,,2.5,7:35,14.74,8.49,681.5,9.21,108.4,312,
,,3,7:35,14.72,8.49,681.3,9.21,108.1,312,
,,4,7:35,14.67,8.48,681.4,9.16,107.1,312,
,,5,7:35,14.58,8.47,681.3,9.1,106.3,313,
,,6,7:35,14.21,8.48,685.1,9.22,107.4,313,
,,7,7:35,14.12,8.46,685.2,9.24,107.1,313,
,,8,7:35,14.09,8.44,684.7,9.07,104.3,314,
,,9,7:35,14.06,8.45,685.6,8.98,104.4,314,
,,10,7:35,13.98,8.41,684.1,8.69,100.3,314,
,,11,7:35,13.9,8.39,684.5,8.53,98.2,315,
,,12,7:35,13.75,8.37,685.9,8.35,96.1,315,
,,13,7:35,13.71,8.36,686.1,8.34,95.9,315,
,,14,7:35,13.71,8.36,685.2,8.28,95.1,315,
,,15,7:35,13.68,8.35,685.3,8.19,95,315,
,,20,7:35,12.95,8.28,690.2,7.76,87.3,317,
,,25,7:35,11.84,8.16,698.1,6.56,72.2,319,
,,26,7:54,11.73,8.14,699,6.39,70.4,319,
,,,,,,,,,,
,7/17/2013,0,9:16,21.49,8.49,642.5,6.79,91.6,347,
,,0.5,9:16,21.4,8.46,642.9,6.77,90.8,349,
,,1,9:17,21.24,8.47,642.9,6.66,89.4,346,
,,1.5,9:18,21.11,8.46,643.6,6.61,88.2,346,
,,2,9:19,21.05,8.46,643.5,6.58,87.9,346,
,,2.5,9:19,21,8.46,643.8,6.55,87.3,346,
,,3,9:20,20.92,8.44,644.1,6.52,86.4,347,
,,4,9:20,20.46,8.4,645.7,6.32,83,348,
,,5,9:21,20.13,8.37,646.8,6.08,79.5,348,
,,6,9:22,19.8,8.33,647.5,5.9,76.6,349,
,,7,9:23,19.41,8.3,649,5.69,73.2,350,
,,8,9:24,19.24,8.29,650,5.61,72.3,350,
,,9,9:24,18.74,8.24,652.4,5.42,68.6,351,
,,10,9:25,18.57,8.22,652.1,5.29,67,351,
,,11,9:26,18.4,8.2,652.7,5.18,65.4,351,
,,12,9:26,18.36,8.2,652.5,5.14,64.9,352,
,,13,9:27,18.29,8.19,653.2,5.11,64.4,352,
,,14,9:27,18.21,8.19,653.2,5.03,63.3,352,
,,15,9:28,17.76,8.14,655.6,4.94,61.2,352,
,,20,9:29,15.82,7.93,670,3.83,45.2,328,
,,24,9:30,14.76,7.71,680.9,1.6,18.7,313,
,,,,,,,,,,
,9/18/2013,0,8:10,20.17,8.17,651.3,6.29,83.7,367,
,,0.5,8:11,20.29,8.15,652,6.28,83.7,368,
,,1,8:12,20.28,8.15,651.4,6.28,83.9,369,
,,1.5,8:12,20.32,8.14,650.8,6.27,83.8,369,
,,2,8:13,20.31,8.14,651,6.28,83.8,370,
,,2.5,8:13,20.31,8.14,651.4,6.28,84,370,
,,3,8:14,20.32,8.14,651.3,6.24,83.4,370,
,,4,8:14,20.33,8.13,650.9,6.27,83.7,370,
,,5,8:15,20.33,8.13,650.7,6.27,83.7,371,
,,6,8:15,20.34,8.13,650.7,6.27,83.8,371,
,,7,8:16,20.34,8.12,650.9,6.26,83.8,371,
,,8,8:16,20.34,8.12,651.3,6.27,83.7,371,
,,9,8:17,20.3,8.09,650.8,5.92,78.8,372,
,,10,8:18,20.21,8.06,652.1,5.57,74.2,372,
,,11,8:19,20.09,8.01,652.4,5.01,66.5,373,
,,12,8:20,20.04,7.98,653,4.83,64.1,374,
,,13,8:21,19.68,7.85,654.3,3.41,44.9,376,
,,14,8:23,19.39,7.71,655.9,1.81,24,379,
,,15,8:25,18.39,7.55,662.6,0,0,21,
,,20,8:26,17.25,7.42,669.8,0,0,-58,
,,24,8:28,16.94,7.36,677.1,0,0,-93,
,,,,,,,,,,
,6/9/2014,0,1044,15.7,8.28,556,7.77,93,339,
,,0.5,,15.7,8.01,555,7.8,93.3,341,
,,1,,15.7,8.05,555,7.79,93.1,341,
,,1.5,,15.7,8.27,555,7.78,92.9,340,
,,2,,15.5,8.25,556,7.77,92.5,339,
,,2.5,,15.4,8.23,557,7.78,92.1,339,
,,3,,15.3,8.22,556,7.74,91.7,339,
,,4,,15.3,8.21,556,7.73,91.6,339,
,,5,,15.2,8.21,557,7.73,91.4,339,
,,6,,15.1,8.2,560,7.7,91,339,
,,7,,15.1,8.2,560,7.65,90.3,339,
,,8,,15,8.22,563,7.66,90.1,339,
,,9,,15,8.22,563,7.63,89.9,339,
,,10,,14.9,8.23,563,7.6,89.5,339,
,,11,,14.9,8.22,564,7.65,89.8,339,
,,12,,14.9,8.22,565,7.63,89.4,339,
,,13,,14.8,8.22,567,7.63,89.4,339,
,,14,,14.7,8.23,571,7.58,88.7,339,
,,15,,14.7,8.22,571,7.56,88.3,340,
,,20,,14.3,8.23,587,7.51,86.9,340,
,,23,,12.6,8.21,621,7.05,77.8,342,
,,25,,11.7,8.18,635,6.45,70.5,343,
,,28,,11.5,8.16,640,6.17,67.1,344,
,,,,,,,,,,
,7/14/2014,0,911,21.18,8.44,444.7,8.04,107.2,330,
,,0.5,,21.18,8.46,443.8,8.04,107.1,333,
,,1,,21.15,8.47,444.5,8.06,107.3,338,
,,1.5,,21.08,8.47,445.2,8.07,107.3,341,
,,2,,21.06,8.46,445.3,8.1,107.5,342,
,,2.5,,21.04,8.46,444.3,8.09,107.4,344,
,,3,,20.99,8.46,444.8,8.02,106.5,345,
,,4,,20.95,8.45,446.2,8.05,106.7,347,
,,5,,20.93,8.45,448.4,8.04,106.7,348,
,,6,,20.77,8.43,450.3,7.94,105,350,
,,7,,20.6,8.41,451.9,7.85,103.3,351,
,,8,,20.4,8.4,454.6,7.76,102,352,
,,9,,19.89,8.37,456.4,7.5,98.5,354,
,,10,,19.5,8.34,456,7.37,94.7,356,
,,11,,18.54,8.22,463.5,6.68,84.3,358,
,,12,,17.88,8.16,468.7,6.46,84.3,360,
,,13,,17.57,8.12,472.3,6.25,77.4,362,
,,14,,17.23,8.07,476.8,6.01,73.8,363,
,,15,,17.16,8.07,477.6,6.03,73.9,363,
,,20,,15.26,7.85,527.3,3.9,45.4,368,
,,25,,13.79,7.62,578.1,1.01,10.8,372,
,,30,,13.32,7.57,609.9,0.03,0.2,256,
,,,,,,,,,,
,9/8/2014,0,947,18.9,8.1,439,6.94,89.1,328,
,,0.5,,18.9,8.12,440,6.91,88.8,330,
,,1,,18.9,8.16,440,6.91,88.7,330,
,,1.5,,18.9,8.17,440,6.89,88.3,331,
,,2,,18.9,8.15,440,6.85,87.8,331,
,,2.5,,18.9,8.15,440,6.81,87.5,331,
,,3,,18.9,8.15,440,6.82,87.5,332,
,,4,,18.9,8.15,440,6.81,87.4,332,
,,5,,18.9,8.15,439,6.83,87.6,333,
,,6,,18.9,8.16,441,6.89,88.3,333,
,,7,,18.9,8.15,440,6.86,88.1,333,
,,8,,18.9,8.16,440,6.96,89.3,334,
,,9,,18.9,8.16,440,6.99,89.6,334,
,,10,,18.9,8.16,441,7,89.9,334,
,,11,,18.9,8.15,439,6.95,89.2,334,
,,12,,18.9,8.16,439,7,89.9,335,
,,13,,18.9,8.15,440,6.95,89.1,335,
,,14,,18.9,8.14,440,6.89,88.2,335,
,,15,,18.9,8.12,441,6.73,86.3,336,
,,20,,17.8,7.72,476,1.74,21.2,344,
,,25,,17.2,7.51,516,0,0,63,
,,28,,18,7.46,520,0,0,16,
,,,,,,,,,,
,6/15/2015,0,1015,16.9,8.19,481,7.5,91.7,377,
,,0.5,,16.9,8.17,481,7.51,91.9,376,
,,1,,16.9,8.19,483,7.44,91,375,
,,1.5,,16.3,8.19,497,7.41,89.3,376,
,,2,,16.1,8.19,500,7.39,88.5,376,
,,2.5,,15.5,8.18,510,7.3,86.7,377,
,,3,,15.7,8.19,506,7.38,87.5,377,
,,4,,15.5,8.18,512,7.37,87.1,377,
,,5,,15.2,8.19,517,7.38,68.9,377,
,,6,,15.1,8.19,518,7.34,86.5,377,
,,7,,15.1,8.2,520,7.38,86.8,377,
,,8,,13.9,8.2,541,7.47,85.6,378,
,,9,,13.8,8.2,543,7.48,85.5,378,
,,10,,13.5,8.2,547,7.54,85.5,378,
,,11,,13.4,8.2,549,7.53,85.3,378,
,,12,,13.4,8.2,549,7.5,85.1,379,
,,13,,13.2,8.2,552,7.53,84.9,379,
,,14,,13.1,8.2,553,7.55,84.9,379,
,,15,,13.1,8.21,553,7.55,84.8,379,
,,20,,12.1,8.2,561,7.46,82.2,381,
,,25,,11.6,8.17,565,7.07,77.4,365,
,,30,,10.8,8.13,569,6.25,66.9,283,
,,,,,,,,,,
,7/20/2015,0,935,21.05,8.44,385,7.76,103.5,348,
,,0.5,,21.07,8.44,385,7.8,104.1,355,
,,1,,21.01,8.44,385,7.83,104.4,361,
,,1.5,,20.97,8.44,385,7.81,104,365,
,,2,,20.87,8.4,385,7.66,101.5,368,
,,2.5,,20.83,8.39,384,7.49,99.3,371,
,,3,,20.75,8.37,383,7.4,98.1,374,
,,4,,20.57,8.35,381,7.17,94.7,377,
,,5,,20.47,8.34,381,7.09,93.1,379,
,,6,,20.43,8.32,382,7.02,92.5,382,
,,7,,20.31,8.31,382,6.91,90.7,384,
,,8,,20.22,8.28,384,6.78,88.6,386,
,,9,,20.17,8.26,385,6.7,87.8,387,
,,10,,20.11,8.24,388,6.6,86.3,389,
,,11,,19.99,8.21,389,6.47,84.4,390,
,,12,,19.91,8.2,391,6.41,83.5,391,
,,13,,19.8,8.18,393,6.32,82.1,392,
,,14,,19.59,8.13,397,6.06,78.4,394,
,,15,,16.38,7.77,481,3.31,40,392,
,,20,,13.13,7.71,547,1.97,22.1,388,
,,25,,12.67,7.71,555,1.55,17.3,383,
,,30,,12.55,7.72,558,1.39,15.5,377,
,,,,,,,,,,
,9/14/2015,0,812,19.48,8.36,445,8.27,108.2,358,
,,0.5,,19.5,8.36,444,8.25,108.2,358,
,,1,,19.51,8.4,445,8.2,107.5,358,
,,1.5,,19.5,8.44,445,8.2,107.5,358,
,,2,,19.5,8.44,445,8.22,107.8,358,
,,2.5,,19.5,8.45,445,8.2,107.5,358,
,,3,,19.5,8.45,445,8.16,107,359,
,,4,,19.5,8.45,445,8.17,107,359,
,,5,,19.5,8.44,445,8.15,106.9,359,
,,6,,19.5,8.43,445,8.05,105.6,361,
,,7,,19.2,8.28,445,6.91,90.4,362,
,,8,,19,8.32,446,7.08,91.8,362,
,,9,,18.9,8.27,445,6.82,88.4,362,
,,10,,18.8,8.25,446,6.66,86.1,363,
,,11,,18.8,8.22,448,6.42,82.6,363,
,,12,,18.7,8.18,446,6.2,79.8,363,
,,13,,18.6,8.14,448,6.02,77.4,363,
,,14,,18.6,8.12,446,5.91,75.9,364,
,,15,,18.6,8.09,443,5.83,74.8,364,
,,16,,18.5,8.05,444,5.21,68.1,,16M ORP reading appears to be an error.
,,20,,17,7.48,468,1.27,15.1,366,
,,25,,15.7,7.42,497,0,0,254,
,,28,,15.1,7.41,518,0,0,22,
,,,,,,,,,,
,6/7/2016,0,1000,19.83,8.63,564,9.39,123.3,263,
,,0.5,,19.81,8.63,565,9.45,123.9,261,
,,1,,19.71,8.62,565,9.48,123.9,260,
,,1.5,,19.64,8.62,565,9.52,124.6,260,
,,2,,19.53,8.63,565,9.57,124.8,259,
,,2.5,,19.5,8.63,564,9.64,125.5,258,
,,3,,19.36,8.63,564,9.66,125.7,258,
,,4,,19.16,8.63,560,9.8,126.8,258,
,,5,,18.9,8.63,559,9.96,128.1,257,
,,6,,18.23,8.64,563,10.19,129.3,258,
,,7,,17.09,8.64,565,10.37,129,259,
,,8,,16.4,8.6,547,9.94,121.2,259,
,,9,,15.97,8.6,571,10.08,121,260,
,,10,,15.53,8.55,572,9.37,112.4,260,
