Site Name,West Newton,,,,Date,6/21/2021,
Date Time,Depth (m),Temp (°C),pH (SU),Spc. Cond. (µS/cm),RDO (mg/L),RDO (%Sat),ORP (mV)
7/20/2021 14:22,2.143072,20.73646,7.831842,1909.118,6.743861,91.66241,-118.6929
7/20/2021 14:22,2.117922,20.74194,7.833393,1909.073,6.757525,91.85758,-118.5597
7/20/2021 14:22,1.620072,20.85355,7.845638,1908.431,7.017916,95.60992,-116.0039
7/20/2021 14:22,1.587432,20.86032,7.846733,1908.396,7.033359,95.83256,-115.8343
7/20/2021 14:22,1.554802,20.86709,7.847827,1908.361,7.048801,96.0552,-115.6647
7/20/2021 14:22,1.306402,20.96981,7.851219,1907,7.247245,98.96104,-114.3504
7/20/2021 14:22,1.284102,20.97709,7.851644,1906.92,7.262249,99.17945,-114.234
7/20/2021 14:22,1.261802,20.98437,7.85207,1906.841,7.277251,99.39787,-114.1176
7/20/2021 14:22,1.239502,20.99165,7.852495,1906.761,7.292254,99.61628,-114.0011
7/20/2021 14:22,0.782657,21.03115,7.852899,1906.557,7.369104,100.7461,-111.54
7/20/2021 14:22,0.755501,21.03526,7.853005,1906.518,7.377122,100.8637,-111.3943
7/20/2021 14:22,0.728345,21.03937,7.853112,1906.479,7.385139,100.9812,-111.2486
7/20/2021 14:22,0.317873,21.19815,7.852299,1909.932,7.501645,102.8998,-108.833
7/20/2021 14:22,0.289245,21.20649,7.852277,1910.088,7.508878,103.0158,-108.6693
7/20/2021 14:22,0.260616,21.21482,7.852256,1910.244,7.516112,103.1317,-108.5056
7/20/2021 14:22,0.231988,21.22315,7.852234,1910.4,7.523345,103.2476,-108.3419
7/20/2021 14:22,0,21.4246,7.852347,1908.893,7.563914,104.2185,-107.3076
,,,,,,,
9/14/2021 11:41,7.620482,17.28669,7.777216,1948.43,8.088634,102.3972,0.2121996
9/14/2021 11:41,7.620472,17.28783,7.7771,1948.401,8.088363,102.3962,0.2293229
9/14/2021 11:41,7.620452,17.28897,7.776984,1948.371,8.088092,102.3952,0.2464461
9/14/2021 11:41,7.620432,17.29011,7.776867,1948.342,8.087821,102.3942,0.2635693
9/14/2021 11:41,7.391302,17.29322,7.774701,1948.173,8.079747,102.2997,0.4672121
9/14/2021 11:41,7.380472,17.29373,7.774571,1948.15,8.079216,102.2941,0.4829186
9/14/2021 11:41,7.369642,17.29423,7.774442,1948.128,8.078685,102.2885,0.4986251
9/14/2021 11:41,7.149672,17.25048,7.772277,1948.158,8.092511,102.3659,0.7115156
9/14/2021 11:41,7.134812,17.24851,7.77213,1948.156,8.092992,102.3677,0.7257656
9/14/2021 11:41,7.119962,17.24655,7.771984,1948.154,8.093472,102.3694,0.7400156
9/14/2021 11:41,6.836142,17.25287,7.769476,1950.306,8.086005,102.2957,1.219155
9/14/2021 11:41,6.818472,17.25235,7.769316,1950.409,8.085905,102.2936,1.246057
9/14/2021 11:41,6.800802,17.25184,7.769155,1950.512,8.085806,102.2915,1.272958
9/14/2021 11:41,6.783122,17.25132,7.768995,1950.615,8.085706,102.2894,1.299859
9/14/2021 11:41,6.371022,17.25768,7.767885,1950.012,8.080763,102.235,1.590451
9/14/2021 11:42,6.345602,17.25811,7.767783,1950.025,8.080378,102.2309,1.613803
9/14/2021 11:42,6.320182,17.25854,7.76768,1950.038,8.079993,102.2269,1.637156
9/14/2021 11:42,5.997202,17.23289,7.76478,1951.314,8.092116,102.3255,2.08945
9/14/2021 11:42,5.973352,17.23176,7.764617,1951.364,8.09261,102.3293,2.117104
9/14/2021 11:42,5.949492,17.23063,7.764455,1951.413,8.093105,102.333,2.144758
9/14/2021 11:42,5.925632,17.22951,7.764292,1951.462,8.093599,102.3367,2.172412
9/14/2021 11:42,5.701542,17.21796,7.763535,1951.5,8.089442,102.2606,2.224949
9/14/2021 11:42,5.684312,17.2169,7.763439,1951.528,8.089501,102.2591,2.236988
9/14/2021 11:42,5.667092,17.21585,7.763343,1951.556,8.089561,102.2577,2.249026
9/14/2021 11:42,5.321322,17.21681,7.764259,1951.469,8.091133,102.2795,2.793798
9/14/2021 11:42,5.300132,17.21664,7.764288,1951.466,8.091138,102.2792,2.821599
9/14/2021 11:42,5.278942,17.21647,7.764318,1951.463,8.091143,102.2789,2.8494
9/14/2021 11:42,5.257752,17.2163,7.764348,1951.459,8.091146,102.2786,2.877201
9/14/2021 11:42,4.805762,17.22494,7.758918,1951.676,8.090663,102.2912,3.094707
9/14/2021 11:42,4.777472,17.22536,7.758684,1951.685,8.090675,102.2922,3.11632
9/14/2021 11:42,4.749182,17.22577,7.758451,1951.693,8.090688,102.2933,3.137932
9/14/2021 11:42,4.626992,17.22996,7.756422,1951.384,8.089174,102.2798,3.374169
9/14/2021 11:42,4.612212,17.23033,7.75622,1951.373,8.089091,102.2794,3.39016
9/14/2021 11:42,4.597422,17.23069,7.756019,1951.362,8.089008,102.279,3.406152
9/14/2021 11:42,4.075972,17.22976,7.752398,1951.424,8.081566,102.1455,3.656111
9/14/2021 11:42,4.048302,17.22979,7.752183,1951.421,8.081175,102.1387,3.673023
9/14/2021 11:42,4.020642,17.22983,7.751969,1951.417,8.080784,102.132,3.689934
9/14/2021 11:42,3.992972,17.22986,7.751755,1951.414,8.080394,102.1253,3.706845
9/14/2021 11:42,3.552112,17.24243,7.753311,1952.108,8.076044,102.1335,4.121996
9/14/2021 11:42,3.520492,17.24301,7.75331,1952.142,8.075686,102.1312,4.14695
9/14/2021 11:42,3.488862,17.24359,7.75331,1952.176,8.075327,102.1289,4.171905
9/14/2021 11:42,2.996072,17.25122,7.753496,1952.309,8.078032,102.1824,5.384379
9/14/2021 11:42,2.963682,17.25183,7.753534,1952.328,8.078076,102.1851,5.450891
9/14/2021 11:42,2.931302,17.25245,7.753572,1952.348,8.07812,102.1878,5.517405
9/14/2021 11:42,2.898912,17.25306,7.753611,1952.368,8.078164,102.1905,5.583918
9/14/2021 11:42,2.728822,17.2577,7.753891,1955.015,8.096387,102.4317,5.019456
9/14/2021 11:42,2.710642,17.25808,7.753908,1955.14,8.09728,102.4439,5.018405
9/14/2021 11:42,2.692472,17.25846,7.753924,1955.265,8.098172,102.4561,5.017354
9/14/2021 11:42,2.213052,17.26017,7.753815,1953.219,8.102339,102.5126,5.053773
9/14/2021 11:42,2.186022,17.26034,7.753816,1953.167,8.102879,102.5198,5.045592
9/14/2021 11:42,2.158992,17.26052,7.753816,1953.115,8.103418,102.527,5.037411
9/14/2021 11:42,2.131972,17.26069,7.753816,1953.063,8.103958,102.5343,5.02923
9/14/2021 11:42,1.715002,17.27805,7.749746,1953.197,8.113658,102.6945,5.237104
9/14/2021 11:42,1.685052,17.2789,7.749553,1953.16,8.114206,102.7033,5.247687
9/14/2021 11:42,1.655112,17.27975,7.74936,1953.123,8.114755,102.7121,5.25827
9/14/2021 11:42,1.303032,17.29461,7.746959,1953.188,8.116597,102.7704,5.407825
9/14/2021 11:42,1.277412,17.29567,7.746764,1953.193,8.116885,102.7765,5.418965
9/14/2021 11:42,1.251792,17.29673,7.746569,1953.197,8.117174,102.7826,5.430105
9/14/2021 11:42,0.985099,17.30526,7.750511,1952.706,8.117534,102.8055,5.686428
9/14/2021 11:42,0.965094,17.30596,7.750653,1952.683,8.117589,102.8078,5.701763
9/14/2021 11:42,0.945089,17.30667,7.750795,1952.66,8.117645,102.8101,5.717098
9/14/2021 11:42,0.925083,17.30737,7.750937,1952.636,8.117701,102.8124,5.732433
9/14/2021 11:42,0.317889,17.3192,7.744973,1953.312,8.116456,102.8236,5.988214
9/14/2021 11:42,0.283608,17.31994,7.74477,1953.334,8.116406,102.8246,6.005569
9/14/2021 11:42,0.249327,17.32068,7.744566,1953.356,8.116358,102.8256,6.022923
9/14/2021 11:42,0.022851,17.39408,7.740105,1957.485,8.133491,103.2006,6.321926
9/14/2021 11:42,0,17.39785,7.739774,1957.697,8.134294,103.2189,6.341396
