Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP,,
Boysen Reservoir - RPD,,,,,,,,,,,
,,10,,21.17,8.07,454,5.86,78.4,490,,
,,11,,20.61,7.75,496,3.3,43.6,493,,
,,12,,19.79,7.72,463,2.96,38.4,492,,
,,,,,,,,,,,
,9/19/2016,0,947,16.8,8.42,503,7.53,92.4,517,,
,,0.5,,16.79,8.43,503,7.52,92.1,517,,
,,1,,16.77,8.43,502,7.48,91.7,517,,
,,1.5,,16.77,8.44,503,7.47,91.5,517,,
,,2,,16.78,8.44,503,7.48,91.6,517,,
,,2.5,,16.75,8.43,503,7.42,90.9,518,,
,,3,,16.74,8.43,502,7.43,91.1,519,,
,,4,,16.74,8.43,502,7.43,91,519,,
,,5,,16.73,8.43,502,7.44,91.2,520,,
,,6,,16.72,8.42,502,7.43,90.9,520,,
,,7,,16.72,8.41,502,7.38,90.4,522,,
,,8,,16.7,8.41,501,7.34,89.8,522,,
,,9,,16.66,8.39,503,7.19,87.8,523,,
,,10,,16.48,8.37,510,6.98,84.9,524,,
,,11,,16.35,8.29,523,5.75,69.8,525,,
,,,,,,,,,,,
,5/27/2020,0,1030,14.61,8.43,482.6,8.2,95.7,242.6,,
,,0.5,,14.66,8.43,401.1,8.19,95.7,241.8,,
,,1,,14.6,8.43,410.8,8.19,95.5,241.8,,
,,1.5,,14.51,8.42,487,8.2,95.5,242,,
,,2,,14.52,8.41,488.5,8.19,95.4,242.2,,
,,2.5,,14.45,8.38,492.4,8.17,94.9,244.3,,
,,3,,14.26,8.33,498,8.14,94.4,248,,
,,4,,14.08,8.2,509.2,8.14,93.8,256.8,,
,,5,,13.6,8.03,509.1,8.15,93.1,265.5,,
,,6,,13.1,7.85,580.2,8.15,92,276.6,,
,,7,,12.56,7.87,588.6,7.96,88.7,273.4,,
,,8,,12.4,7.93,590.1,7.87,87.5,269.1,,
,,9,,12.36,8.16,591.7,7.76,86.2,254.5,,
,,,,,,,,,,,
,6/24/2020,0,1015,21.45,8.64,446.7,8.89,119.7,228.5,,
,,0.5,,21.02,8.65,447.8,8.92,119.1,228.8,,
