"#DOWNLOAD URL# http://data.usbr.gov/rise/api/result/downloadall?filename=RISE%20Time%20Series%20Query%20Package%20%282024-04-01%29&order=ASC&query%5B0%5D=itemId.195.before.2023-12-31.after.1980-01-01.order.ASC&type=csv","","","","","",""
"#DOWNLOAD DATE# 2024-04-01","","","","","",""
"#LOCATION INFORMATION#","","","","","",""
"Location","State","Coordinates (long, lat)","Timezone","Location Type","",""
"Boysen Reservoir Dam and Powerplant","WY","(-108.1769, 43.4)","MT","Lake/Reservoir","",""
"","","","","","",""
"#SERIES DATA#","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","523100","af","daily","instant","1980-04-29 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","523682","af","daily","instant","1980-04-30 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","526012","af","daily","instant","1980-05-01 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","528779","af","daily","instant","1980-05-02 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","530833","af","daily","instant","1980-05-03 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","534537","af","daily","instant","1980-05-04 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","538834","af","daily","instant","1980-05-05 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","543278","af","daily","instant","1980-05-06 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","547759","af","daily","instant","1980-05-07 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","551659","af","daily","instant","1980-05-08 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","556458","af","daily","instant","1980-05-09 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","561283","af","daily","instant","1980-05-10 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","566319","af","daily","instant","1980-05-11 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","571661","af","daily","instant","1980-05-12 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","576106","af","daily","instant","1980-05-13 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","579991","af","daily","instant","1980-05-14 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","582944","af","daily","instant","1980-05-15 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","586363","af","daily","instant","1980-05-16 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","589937","af","daily","instant","1980-05-17 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","595467","af","daily","instant","1980-05-18 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","599900","af","daily","instant","1980-05-19 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","603384","af","daily","instant","1980-05-20 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","608006","af","daily","instant","1980-05-21 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","616077","af","daily","instant","1980-05-22 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","629474","af","daily","instant","1980-05-23 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","643776","af","daily","instant","1980-05-24 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","659510","af","daily","instant","1980-05-25 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","669980","af","daily","instant","1980-05-26 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","677091","af","daily","instant","1980-05-27 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","682859","af","daily","instant","1980-05-28 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","685307","af","daily","instant","1980-05-29 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","686880","af","daily","instant","1980-05-30 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","689328","af","daily","instant","1980-05-31 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","690202","af","daily","instant","1980-06-01 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","691263","af","daily","instant","1980-06-02 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","692153","af","daily","instant","1980-06-03 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","692153","af","daily","instant","1980-06-04 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","692687","af","daily","instant","1980-06-05 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","692331","af","daily","instant","1980-06-06 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","693755","af","daily","instant","1980-06-07 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","693755","af","daily","instant","1980-06-08 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","694111","af","daily","instant","1980-06-09 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","697670","af","daily","instant","1980-06-10 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","705145","af","daily","instant","1980-06-11 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","715576","af","daily","instant","1980-06-12 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","726419","af","daily","instant","1980-06-13 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","736167","af","daily","instant","1980-06-14 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","745374","af","daily","instant","1980-06-15 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","751740","af","daily","instant","1980-06-16 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","755297","af","daily","instant","1980-06-17 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","759978","af","daily","instant","1980-06-18 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","766775","af","daily","instant","1980-06-19 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","774781","af","daily","instant","1980-06-20 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","785896","af","daily","instant","1980-06-21 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","797928","af","daily","instant","1980-06-22 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","807744","af","daily","instant","1980-06-23 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","817442","af","daily","instant","1980-06-24 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","822603","af","daily","instant","1980-06-25 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","826028","af","daily","instant","1980-06-26 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","828647","af","daily","instant","1980-06-27 06:00:00"
