"","WaterbodyName","CollDate","SS","Year","Month","average_mon_whole_SS"
"115","Riverine Pelagic: Freemont 1",2023-08-16,669.222107539371,2023,"Aug",578.937354720414
"116","Riverine Pelagic: Freemont 1",2023-09-12,150.117730851297,2023,"Sep",344.687748114188
"117","Riverine Pelagic: Freemont 1",2023-10-10,377.166305113896,2023,"Oct",134.776359768421
"118","Tough Creek Campground",2020-05-27,238.521979881395,2020,"May",194.379197541933
"119","Tough Creek Campground",2020-06-24,173.63086777231,2020,"Jun",538.260586972045
"120","Tough Creek Campground",2020-07-15,476.06426222663,2020,"Jul",427.15172579655
"121","Tough Creek Campground",2020-08-26,345.489238924185,2020,"Aug",453.561673404585
"122","Tough Creek Campground",2020-09-22,10.6112087192128,2020,"Sep",101.753165750372
"123","Tough Creek Campground",2020-10-13,53.9318493124082,2020,"Oct",36.5520373577035
"124","Tough Creek Campground",2021-05-18,298.665041472065,2021,"May",385.841515689824
"125","Tough Creek Campground",2021-06-22,875.926749871176,2021,"Jun",608.55673935489
"126","Tough Creek Campground",2021-07-21,151.721944804887,2021,"Jul",585.737780581895
"127","Tough Creek Campground",2021-08-11,20.783699717747,2021,"Aug",518.553854601631
"128","Tough Creek Campground",2021-09-15,14.0926533050884,2021,"Sep",108.139700115453
"129","Tough Creek Campground",2021-10-05,25.7554890738593,2021,"Oct",83.0655769604794
"130","Tough Creek Campground",2022-05-10,9.52373184895132,2022,"May",40.5424114626791
"131","Tough Creek Campground",2022-06-15,10.0852589367282,2022,"Jun",188.015154067388
"132","Tough Creek Campground",2022-07-12,240.191955957402,2022,"Jul",613.694529056979
"133","Tough Creek Campground",2022-08-29,39.6092337133081,2022,"Aug",310.399966212247
"134","Tough Creek Campground",2022-09-27,164.396117778564,2022,"Sep",141.945311242092
"135","Tough Creek Campground",2022-10-19,59.6687594409271,2022,"Oct",121.01553166275
"136","Tough Creek Campground",2023-06-26,146.608624777733,2023,"Jun",325.046835179788
"137","Tough Creek Campground",2023-07-24,903.741481120432,2023,"Jul",1054.43045950565
"138","Tough Creek Campground",2023-08-16,143.929049684902,2023,"Aug",578.937354720414
"139","Tough Creek Campground",2023-09-12,71.5022099784478,2023,"Sep",344.687748114188
"140","Tough Creek Campground",2023-10-10,31.3508449771641,2023,"Oct",134.776359768421
"141","Transitional Pelagic: Sand Mesa",2020-05-27,182.970732128653,2020,"May",194.379197541933
"142","Transitional Pelagic: Sand Mesa",2020-06-24,930.269326679916,2020,"Jun",538.260586972045
"143","Transitional Pelagic: Sand Mesa",2020-07-15,989.800493718794,2020,"Jul",427.15172579655
"144","Transitional Pelagic: Sand Mesa",2020-08-26,661.389423228929,2020,"Aug",453.561673404585
"145","Transitional Pelagic: Sand Mesa",2020-09-22,106.1791566138,2020,"Sep",101.753165750372
"146","Transitional Pelagic: Sand Mesa",2020-10-13,40.874586118969,2020,"Oct",36.5520373577035
"147","Transitional Pelagic: Sand Mesa",2021-05-18,555.096436832572,2021,"May",385.841515689824
"148","Transitional Pelagic: Sand Mesa",2021-06-22,790.193069068522,2021,"Jun",608.55673935489
"149","Transitional Pelagic: Sand Mesa",2021-07-21,834.707205622718,2021,"Jul",585.737780581895
"150","Transitional Pelagic: Sand Mesa",2021-08-11,1077.48049544219,2021,"Aug",518.553854601631
"151","Transitional Pelagic: Sand Mesa",2021-09-15,23.3924891648237,2021,"Sep",108.139700115453
"152","Transitional Pelagic: Sand Mesa",2021-10-05,302.374687607628,2021,"Oct",83.0655769604794
"153","Transitional Pelagic: Sand Mesa",2022-05-10,26.0909047908506,2022,"May",40.5424114626791
"154","Transitional Pelagic: Sand Mesa",2022-06-15,299.484404955423,2022,"Jun",188.015154067388
"155","Transitional Pelagic: Sand Mesa",2022-07-12,1297.71418776761,2022,"Jul",613.694529056979
"156","Transitional Pelagic: Sand Mesa",2022-08-29,247.504229965911,2022,"Aug",310.399966212247
"157","Transitional Pelagic: Sand Mesa",2022-09-27,358.240272186899,2022,"Sep",141.945311242092
"158","Transitional Pelagic: Sand Mesa",2022-10-19,367.008174533198,2022,"Oct",121.01553166275
"159","Transitional Pelagic: Sand Mesa",2023-05-24,301.725787466119,2023,"May",482.396441327193
"160","Transitional Pelagic: Sand Mesa",2023-06-26,437.495853799577,2023,"Jun",325.046835179788
"161","Transitional Pelagic: Sand Mesa",2023-07-24,1173.22302831105,2023,"Jul",1054.43045950565
"162","Transitional Pelagic: Sand Mesa",2023-08-16,924.411469046134,2023,"Aug",578.937354720414
"163","Transitional Pelagic: Sand Mesa",2023-09-12,658.031101580348,2023,"Sep",344.687748114188
"164","Transitional Pelagic: Sand Mesa",2023-10-10,345.652786742095,2023,"Oct",134.776359768421
