"","WaterbodyName","Latitude","Longitude","Year","DrainageArea_ha","month","TN_load_kg","TP_load_kg","NH4_load_kg","NO3_load_kg","PO4_load_kg","TN_flux_kg_ha","TP_flux_kg_ha","NH4_flux_kg_ha","NO3_flux_kg_ha","PO4_flux_kg_ha","TotalTrib_TN_kg","TotalTrib_TP_kg","TotalTrib_NH4_kg","TotalTrib_NO3_kg","TotalTrib_PO4_kg"
"53","Fivemile Creek",43.22191667,-108.2196944,2020,108261.582,"Aug",25320.6330157698,3452.81359305952,NA,12752.3915370332,1243.01289350143,0.233883826081258,0.0318932490110806,NA,0.117792399680924,0.011481569643989,NA,5836.19275160816,NA,NA,1697.44567710414
"54","Fivemile Creek",43.22191667,-108.2196944,2020,108261.582,"Sep",26653.5716568791,3464.96431539428,NA,14766.078697911,826.260721363252,0.24619602969481,0.0320054838603253,NA,0.136392600450925,0.00763207692053911,46425.8338125885,5471.58158999416,NA,19563.6777111414,1011.47280337414
"55","Fivemile Creek",43.22191667,-108.2196944,2020,108261.582,"Oct",12656.1395720543,446.687279013682,NA,9231.5370996161,NA,0.116903331156331,0.00412599992316464,NA,0.0852706650787358,NA,NA,NA,NA,NA,NA
"56","Fivemile Creek",43.22191667,-108.2196944,2020,108261.582,"Nov",10513.88520606,221.344951706527,NA,7636.40083387519,NA,0.0971155696400229,0.00204453830821101,NA,0.0705365716332798,NA,NA,3528.50375122406,NA,NA,NA
"57","Fivemile Creek",43.22191667,-108.2196944,2020,108261.582,"Dec",10815.551193466,227.695814599285,NA,8367.82118652373,NA,0.0999020242791764,0.00210320051114056,NA,0.0772926187844154,NA,29590.9713729262,NA,NA,15060.3401463511,NA
"58","Fivemile Creek",43.22191667,-108.2196944,2021,108261.582,"Jan",11242.462841806,177.51257118641,NA,8698.11598813408,29.5854285310683,0.10384535893634,0.00163966356215273,NA,0.0803435145454837,0.000273277260358788,24508.8911473143,NA,NA,16112.2106949541,NA
"59","Fivemile Creek",43.22191667,-108.2196944,2021,108261.582,"Feb",10583.1139737113,158.746709605669,NA,7884.41991041491,NA,0.0977550279443661,0.00146632541916549,NA,0.0728274958185528,NA,24892.3239114768,1658.91613829699,NA,13620.4602424991,NA
"60","Fivemile Creek",43.22191667,-108.2196944,2021,108261.582,"Mar",6974.76267572875,325.488924867342,NA,4556.84494814278,NA,0.0644250947277747,0.00300650442062949,NA,0.0420910618888128,NA,39926.7870830225,4563.76905947022,NA,13798.3985319237,NA
"61","Fivemile Creek",43.22191667,-108.2196944,2021,108261.582,"Apr",5840.72651815488,1390.64917098926,139.064917098926,2023.39454378937,34.7662292747314,0.0539501308798063,0.0128452692570967,0.00128452692570967,0.0186898667690757,0.000321131731427418,NA,4279.33622910401,NA,NA,364.034258439636
"62","Fivemile Creek",43.22191667,-108.2196944,2021,108261.582,"May",14283.2001103376,4856.2880375148,NA,4984.83683850784,956.974407392623,0.131932305500003,0.0448569838700011,NA,0.0460443746195011,0.00883946446850021,NA,69201.6820399272,NA,NA,NA
