"#DOWNLOAD URL# http://data.usbr.gov/rise/api/result/download?after=2020-01-01&before=2024-03-20&filename=Boysen%20Reservoir%20Dam%20and%20Powerplant%20Observed%20Daily%20Average%20Lake%2FReservoir%20Release%20-%20Total%20cfs%20%282020-01-01%20-%202024-03-19%29&itemId=199&order=ASC&type=csv","","","","","",""
"#DOWNLOAD DATE# 2024-03-20","","","","","",""
"#LOCATION INFORMATION#","","","","","",""
"Location","State","Coordinates (long, lat)","Timezone","Location Type","",""
"Boysen Reservoir Dam and Powerplant","WY","(-108.1769, 43.4)","MT","Lake/Reservoir","",""
"","","","","","",""
"#SERIES DATA#","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1054.63","cfs","daily","average","2020-02-04 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1054.63","cfs","daily","average","2020-02-04 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1051.15","cfs","daily","average","2020-02-05 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1051.15","cfs","daily","average","2020-02-05 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1048.01","cfs","daily","average","2020-02-06 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1048.01","cfs","daily","average","2020-02-06 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1049.64","cfs","daily","average","2020-02-07 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1049.64","cfs","daily","average","2020-02-07 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1053.23","cfs","daily","average","2020-02-08 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1053.23","cfs","daily","average","2020-02-08 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1055.04","cfs","daily","average","2020-02-09 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1055.04","cfs","daily","average","2020-02-09 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1050.34","cfs","daily","average","2020-02-10 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1050.34","cfs","daily","average","2020-02-10 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1044.06","cfs","daily","average","2020-02-11 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1044.06","cfs","daily","average","2020-02-11 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1048.12","cfs","daily","average","2020-02-12 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1048.12","cfs","daily","average","2020-02-12 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1047.45","cfs","daily","average","2020-02-13 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1047.45","cfs","daily","average","2020-02-13 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1052.15","cfs","daily","average","2020-02-14 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1052.15","cfs","daily","average","2020-02-14 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1051.6","cfs","daily","average","2020-02-15 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1051.6","cfs","daily","average","2020-02-15 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1052.91","cfs","daily","average","2020-02-16 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1052.91","cfs","daily","average","2020-02-16 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1044.43","cfs","daily","average","2020-02-17 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1044.43","cfs","daily","average","2020-02-17 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1041.43","cfs","daily","average","2020-02-18 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1041.43","cfs","daily","average","2020-02-18 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1041.53","cfs","daily","average","2020-02-19 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1041.53","cfs","daily","average","2020-02-19 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1043.13","cfs","daily","average","2020-02-20 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1043.13","cfs","daily","average","2020-02-20 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1043.13","cfs","daily","average","2020-02-21 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1043.13","cfs","daily","average","2020-02-21 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1042.15","cfs","daily","average","2020-02-22 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1042.15","cfs","daily","average","2020-02-22 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1040.01","cfs","daily","average","2020-02-23 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1040.01","cfs","daily","average","2020-02-23 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1046.29","cfs","daily","average","2020-02-24 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1046.29","cfs","daily","average","2020-02-24 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1046.06","cfs","daily","average","2020-02-25 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1046.06","cfs","daily","average","2020-02-25 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1045.12","cfs","daily","average","2020-02-26 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1045.12","cfs","daily","average","2020-02-26 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1049.83","cfs","daily","average","2020-02-27 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1049.83","cfs","daily","average","2020-02-27 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1048.95","cfs","daily","average","2020-02-28 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1048.95","cfs","daily","average","2020-02-28 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1051.19","cfs","daily","average","2020-02-29 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1051.19","cfs","daily","average","2020-02-29 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1049","cfs","daily","average","2020-03-01 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1049","cfs","daily","average","2020-03-01 07:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1049","cfs","daily","average","2020-03-01 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1041.76","cfs","daily","average","2020-03-02 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1041.76","cfs","daily","average","2020-03-02 07:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1041.76","cfs","daily","average","2020-03-02 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1047.5","cfs","daily","average","2020-03-03 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1047.5","cfs","daily","average","2020-03-03 07:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1047.5","cfs","daily","average","2020-03-03 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1046.5","cfs","daily","average","2020-03-04 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1046.5","cfs","daily","average","2020-03-04 07:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1046.5","cfs","daily","average","2020-03-04 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1051.04","cfs","daily","average","2020-03-05 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1051.04","cfs","daily","average","2020-03-05 07:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1051.04","cfs","daily","average","2020-03-05 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1052.75","cfs","daily","average","2020-03-06 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1052.75","cfs","daily","average","2020-03-06 07:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1052.75","cfs","daily","average","2020-03-06 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1051.42","cfs","daily","average","2020-03-07 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1051.42","cfs","daily","average","2020-03-07 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1051.21","cfs","daily","average","2020-03-08 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1051.21","cfs","daily","average","2020-03-08 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1053.15","cfs","daily","average","2020-03-09 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1053.15","cfs","daily","average","2020-03-09 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1048.9","cfs","daily","average","2020-03-10 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1048.9","cfs","daily","average","2020-03-10 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1051.21","cfs","daily","average","2020-03-11 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1051.21","cfs","daily","average","2020-03-11 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1052.83","cfs","daily","average","2020-03-12 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1052.83","cfs","daily","average","2020-03-12 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1039.5","cfs","daily","average","2020-03-13 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1039.5","cfs","daily","average","2020-03-13 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1040.54","cfs","daily","average","2020-03-14 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1040.54","cfs","daily","average","2020-03-14 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1056.67","cfs","daily","average","2020-03-15 06:00:00"
