"","WaterbodyName","Latitude","Longitude","Year","DrainageArea_ha","month","TN","NH4","NO3","PO4","TP","Discharge","estimated"
"149","Wind River Outlet",43.42496,-108.179,2021,1994551.299,"Mar",0.27,NA,0.069,0.006,0.02,17268.466210986,NA
"150","Wind River Outlet",43.42496,-108.179,2021,1994551.299,"Apr",NA,NA,NA,0.004,0.03,17638.4551942449,NA
"151","Wind River Outlet",43.42496,-108.179,2021,1994551.299,"Jun",NA,0.03,NA,0.012,0.02,36917.0410209961,NA
"152","Wind River Outlet",43.42496,-108.179,2021,1994551.299,"Jul",0.34,NA,0.081,0.025,0.03,33800.0020180085,NA
"153","Wind River Outlet",43.42496,-108.179,2021,1994551.299,"Aug",0.3,NA,0.077,0.023,0.02,31988.0892147862,NA
"154","Wind River Outlet",43.42496,-108.179,2021,1994551.299,"Sep",0.34,0.06,0.043,0.058,0.08,30223.0206055024,NA
"155","Wind River Outlet",43.42496,-108.179,2021,1994551.299,"Oct",0.4,0.05,0.071,0.046,0.05,22329.9353785665,NA
"156","Wind River Outlet",43.42496,-108.179,2021,1994551.299,"Nov",0.39,0.05,0.061,0.04,0.05,19660.3205161836,NA
"157","Wind River Outlet",43.42496,-108.179,2021,1994551.299,"Dec",0.37,0.04,0.059,0.028,0.05,19711.7652233501,NA
"158","Wind River Outlet",43.42496,-108.179,2022,1994551.299,"Jan",NA,NA,NA,NA,0.02,19893.101741692,NA
"159","Wind River Outlet",43.42496,-108.179,2022,1994551.299,"Feb",NA,NA,NA,NA,0.02,20188.0376516412,NA
"160","Wind River Outlet",43.42496,-108.179,2022,1994551.299,"Mar",NA,NA,NA,NA,0.01,20170.6570778601,NA
"161","Wind River Outlet",43.42496,-108.179,2022,1994551.299,"Apr",0.31,0.03,0.042,0.011,0.02,21355.5368542602,NA
"162","Wind River Outlet",43.42496,-108.179,2022,1994551.299,"May",NA,NA,NA,NA,0.02,52303.5175410179,NA
"163","Wind River Outlet",43.42496,-108.179,2022,1994551.299,"Jun",NA,NA,NA,NA,0.01,71914.8700084239,NA
"164","Wind River Outlet",43.42496,-108.179,2022,1994551.299,"Jul",NA,NA,NA,0.007,0.14,49293.9756818203,NA
"165","Wind River Outlet",43.42496,-108.179,2022,1994551.299,"Aug",0.28,0.03,0.058,0.018,0.03,33165.0013004162,NA
"166","Wind River Outlet",43.42496,-108.179,2022,1994551.299,"Sep",0.44,0.02,0.059,0.028,0.04,31144.8868730436,NA
"167","Wind River Outlet",43.42496,-108.179,2022,1994551.299,"Oct",0.39,0.02,0.076,0.023,0.04,25509.1490422034,NA
"168","Wind River Outlet",43.42496,-108.179,2022,1994551.299,"Nov",NA,NA,NA,NA,0.02,25505.6963660536,NA
"169","Wind River Outlet",43.42496,-108.179,2023,1994551.299,"Feb",NA,NA,NA,NA,0.01,26259.6388115666,NA
"170","Wind River Outlet",43.42496,-108.179,2023,1994551.299,"Mar",NA,0.02,NA,NA,0.01,28824.5685648412,NA
"171","Wind River Outlet",43.42496,-108.179,2023,1994551.299,"Apr",NA,0.02,NA,NA,0.4,74573.5481738957,NA
"172","Wind River Outlet",43.42496,-108.179,2023,1994551.299,"May",NA,0.04,NA,NA,0.01,67572.6006360893,NA
"173","Wind River Outlet",43.42496,-108.179,2023,1994551.299,"Jun",NA,0.04,NA,0.01,0.05,156400.815282389,NA
"174","Wind River Outlet",43.42496,-108.179,2023,1994551.299,"Jul",NA,0.03,NA,0.016,0.04,132594.620689438,NA
"175","Wind River Outlet",43.42496,-108.179,2023,1994551.299,"Aug",0.32,NA,0.09,0.02,0.04,52000.1253659513,NA
"176","Wind River Outlet",43.42496,-108.179,2023,1994551.299,"Oct",NA,0.096,0.106,0.009,NA,40031.7726577098,NA
